확진일,서울확진자수,경기확진자수
2020-01-24,1.0,
2020-01-26,,1.0
2020-01-27,,1.0
2020-01-30,3.0,
2020-01-31,3.0,
2020-02-01,,1.0
2020-02-02,1.0,2.0
2020-02-05,2.0,2.0
2020-02-06,1.0,
2020-02-07,1.0,
2020-02-09,,3.0
2020-02-10,,1.0
2020-02-16,2.0,
2020-02-18,,1.0
2020-02-19,2.0,
2020-02-20,5.0,1.0
2020-02-21,2.0,2.0
2020-02-22,4.0,8.0
2020-02-23,4.0,10.0
2020-02-24,4.0,9.0
2020-02-25,16.0,6.0
2020-02-26,10.0,9.0
2020-02-27,13.0,13.0
2020-02-28,8.0,8.0
2020-02-29,5.0,11.0
2020-03-01,6.0,2.0
2020-03-02,6.0,2.0
2020-03-03,1.0,8.0
2020-03-04,5.0,10.0
2020-03-05,1.0,11.0
2020-03-06,7.0,13.0
2020-03-07,7.0,6.0
2020-03-08,10.0,12.0
2020-03-09,26.0,12.0
2020-03-10,46.0,10.0
2020-03-11,17.0,5.0
2020-03-12,12.0,6.0
2020-03-13,9.0,15.0
2020-03-14,8.0,10.0
2020-03-15,6.0,20.0
2020-03-16,13.0,33.0
2020-03-17,4.0,15.0
2020-03-18,11.0,20.0
2020-03-19,17.0,13.0
2020-03-20,17.0,11.0
2020-03-21,8.0,16.0
2020-03-22,6.0,14.0
2020-03-23,5.0,12.0
2020-03-24,14.0,24.0
2020-03-25,13.0,14.0
2020-03-26,14.0,13.0
2020-03-27,15.0,19.0
2020-03-28,22.0,20.0
2020-03-29,22.0,11.0
2020-03-30,19.0,12.0
2020-03-31,24.0,23.0
2020-04-01,16.0,20.0
2020-04-02,19.0,25.0
2020-04-03,20.0,17.0
2020-04-04,19.0,13.0
2020-04-05,11.0,7.0
2020-04-06,8.0,8.0
2020-04-07,10.0,8.0
2020-04-08,11.0,9.0
2020-04-09,5.0,8.0
2020-04-10,3.0,8.0
2020-04-11,2.0,6.0
2020-04-12,8.0,4.0
2020-04-13,3.0,7.0
2020-04-14,5.0,5.0
2020-04-15,1.0,3.0
2020-04-16,2.0,1.0
2020-04-17,2.0,4.0
2020-04-18,1.0,
2020-04-19,1.0,2.0
2020-04-20,1.0,2.0
2020-04-21,2.0,
2020-04-22,,1.0
2020-04-23,,1.0
2020-04-24,1.0,2.0
2020-04-25,,7.0
2020-04-26,,3.0
2020-04-27,4.0,2.0
2020-04-28,,2.0
2020-04-29,,1.0
2020-04-30,1.0,1.0
2020-05-01,1.0,
2020-05-02,2.0,2.0
2020-05-03,,1.0
2020-05-06,,1.0
2020-05-07,,2.0
2020-05-08,13.0,4.0
2020-05-09,1.0,6.0
2020-05-09,17.0,6.0
2020-05-10,20.0,4.0
2020-05-11,12.0,8.0
2020-05-12,8.0,2.0
2020-05-13,5.0,6.0
2020-05-14,12.0,4.0
2020-05-15,6.0,3.0
2020-05-16,4.0,1.0
2020-05-17,1.0,2.0
2020-05-18,7.0,2.0
2020-05-19,9.0,8.0
2020-05-20,4.0,4.0
2020-05-21,3.0,3.0
2020-05-22,3.0,13.0
2020-05-23,6.0,7.0
2020-05-24,7.0,6.0
2020-05-25,8.0,2.0
2020-05-26,19.0,5.0
2020-05-27,25.0,21.0
2020-05-28,19.0,21.0
2020-05-29,9.0,15.0
2020-05-30,6.0,10.0
2020-05-31,1.0,12.0
2020-06-01,14.0,16.0
2020-06-02,20.0,13.0
2020-06-03,14.0,14.0
2020-06-04,15.0,12.0
2020-06-05,27.0,7.0
2020-06-06,29.0,19.0
2020-06-07,15.0,8.0
2020-06-08,18.0,14.0
2020-06-09,14.0,25.0
2020-06-10,19.0,13.0
2020-06-11,25.0,18.0
2020-06-12,30.0,14.0
2020-06-13,12.0,11.0
2020-06-14,7.0,8.0
2020-06-15,11.0,5.0
2020-06-16,14.0,15.0
2020-06-17,24.0,14.0
2020-06-18,18.0,11.0
2020-06-19,16.0,17.0
2020-06-20,15.0,13.0
2020-06-21,8.0,5.0
2020-06-22,4.0,5.0
2020-06-23,10.0,9.0
2020-06-24,9.0,6.0
2020-06-25,17.0,6.0
2020-06-26,17.0,18.0
2020-06-27,14.0,17.0
2020-06-28,7.0,15.0
2020-06-29,8.0,7.0
2020-06-30,9.0,16.0
2020-07-01,13.0,9.0
2020-07-02,11.0,19.0
2020-07-03,7.0,18.0
2020-07-04,16.0,8.0
2020-07-05,3.0,8.0
2020-07-06,3.0,11.0
2020-07-07,10.0,18.0
2020-07-08,8.0,8.0
2020-07-09,8.0,14.0
2020-07-10,8.0,12.0
2020-07-11,7.0,12.0
2020-07-12,13.0,8.0
2020-07-13,7.0,10.0
2020-07-14,6.0,11.0
2020-07-15,7.0,17.0
2020-07-16,9.0,16.0
2020-07-17,6.0,10.0
2020-07-18,10.0,2.0
2020-07-19,3.0,1.0
2020-07-20,21.0,5.0
2020-07-21,17.0,20.0
2020-07-22,11.0,21.0
2020-07-23,21.0,7.0
2020-07-24,11.0,13.0
2020-07-25,7.0,7.0
2020-07-26,9.0,10.0
2020-07-27,6.0,5.0
2020-07-28,9.0,8.0
2020-07-29,3.0,6.0
2020-07-30,9.0,11.0
2020-07-31,2.0,10.0
2020-08-01,4.0,3.0
2020-08-02,5.0,2.0
2020-08-03,9.0,8.0
2020-08-04,6.0,5.0
2020-08-05,9.0,13.0
2020-08-06,9.0,7.0
2020-08-07,17.0,17.0
2020-08-08,13.0,17.0
2020-08-09,13.0,5.0
2020-08-10,6.0,10.0
2020-08-11,15.0,19.0
2020-08-12,26.0,22.0
2020-08-13,33.0,42.0
2020-08-14,73.0,111.0
2020-08-15,146.0,78.0
2020-08-16,91.0,75.0
2020-08-17,132.0,57.0
2020-08-18,151.0,91.0
2020-08-19,135.0,100.0
2020-08-20,126.0,106.0
2020-08-21,128.0,102.0
2020-08-22,143.0,124.0
2020-08-23,98.0,74.0
2020-08-24,136.0,66.0
2020-08-25,116.0,87.0
2020-08-26,157.0,97.0
2020-08-27,160.0,122.0
2020-08-28,118.0,99.0
2020-08-29,167.0,87.0
2020-08-30,70.0,64.0
2020-08-31,104.0,61.0
2020-09-01,87.0,86.0
2020-09-02,64.0,66.0
2020-09-03,46.0,52.0
2020-09-04,55.0,44.0
2020-09-05,58.0,48.0
2020-09-06,44.0,32.0
2020-09-07,76.0,38.0
2020-09-08,30.0,46.0
2020-09-09,47.0,52.0
2020-09-10,64.0,47.0
2020-09-11,49.0,29.0
2020-09-12,34.0,37.0
2020-09-13,41.0,32.0
2020-09-14,36.0,32.0
2020-09-15,49.0,27.0
2020-09-16,62.0,55.0
2020-09-17,43.0,37.0
